prev_id	curr_id	n	prev_title	curr_title	type
""	3632887	121	other-google	!!	other
""	3632887	93	other-wikipedia	!!	other
""	3632887	46	other-empty	!!	other
""	3632887	10	other-other	!!	other
64486	3632887	11	!_(disambiguation)	!!	other
2061699	2556962	19	Louden_Up_Now	!!!_(album)	link
""	2556962	25	other-empty	!!!_(album)	other
""	2556962	16	other-google	!!!_(album)	other
""	2556962	44	other-wikipedia	!!!_(album)	other
64486	2556962	15	!_(disambiguation)	!!!_(album)	link
600744	2556962	297	!!!	!!!_(album)	link
""	6893310	11	other-empty	!Hero_(album)	other
1921683	6893310	26	!Hero	!Hero_(album)	link
""	6893310	16	other-wikipedia	!Hero_(album)	other
""	6893310	23	other-google	!Hero_(album)	other
8127304	22602473	16	Jericho_Rosales	!Oka_Tokat	link
35978874	22602473	20	List_of_telenovelas_of_ABS-CBN	!Oka_Tokat	link
""	22602473	57	other-google	!Oka_Tokat	other
""	22602473	12	other-wikipedia	!Oka_Tokat	other
""	22602473	23	other-empty	!Oka_Tokat	other
7360687	22602473	10	Rica_Peralejo	!Oka_Tokat	link
37104582	22602473	11	Jeepney_TV	!Oka_Tokat	link
34376590	22602473	22	Oka_Tokat_(2012_TV_series)	!Oka_Tokat	link
""	6810768	20	other-wikipedia	!T.O.O.H.!	other
""	6810768	81	other-google	!T.O.O.H.!	other
31976181	6810768	51	List_of_death_metal_bands,_!–K	!T.O.O.H.!	link
""	6810768	35	other-empty	!T.O.O.H.!	other
""	3243047	21	other-empty	!_(album)	other
1337475	3243047	208	The_Dismemberment_Plan	!_(album)	link
3284285	3243047	78	The_Dismemberment_Plan_Is_Terrified	!_(album)	link
""	3243047	28	other-wikipedia	!_(album)	other
2098292	899480	58	United_States_military_award_devices	"\"A\"_Device"	link
194844	899480	15	USS_Yorktown_(CV-5)	"\"A\"_Device"	link
""	899480	17	other-google	"\"A\"_Device"	other
""	899480	13	other-empty	"\"A\"_Device"	other
""	899480	29	other-wikipedia	"\"A\"_Device"	other
878246	899480	11	American_Defense_Service_Medal	"\"A\"_Device"	link
855901	899480	24	Overseas_Service_Ribbon	"\"A\"_Device"	other
206427	899480	33	USS_Ranger_(CV-4)	"\"A\"_Device"	link
773691	899480	47	Antarctica_Service_Medal	"\"A\"_Device"	link
2301720	1282996	43	Kinsey_Millhone	"\"A\"_Is_for_Alibi"	link
""	1282996	45	other-empty	"\"A\"_Is_for_Alibi"	other
""	1282996	10	other-yahoo	"\"A\"_Is_for_Alibi"	other
470006	1282996	207	Sue_Grafton	"\"A\"_Is_for_Alibi"	link
""	1282996	18	other-other	"\"A\"_Is_for_Alibi"	other
""	1282996	31	other-wikipedia	"\"A\"_Is_for_Alibi"	other
""	1282996	272	other-google	"\"A\"_Is_for_Alibi"	other
39606873	1282996	10	"\"W\"_Is_for_Wasted"	"\"A\"_Is_for_Alibi"	link
